               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02489,           0.0084856,            0.013571,             0.82254,             0.86033,             0.91629,              0.5517,            0.029504,           0.0044283,           0.0096266,            0.006535,            0.006535,            0.006535
                  37,            0.024737,            0.008476,            0.013533,             0.82396,             0.85913,             0.91671,             0.55338,            0.029412,           0.0044234,           0.0096103,            0.006436,            0.006436,            0.006436
                  38,            0.024637,           0.0084802,            0.013418,             0.81823,             0.86189,             0.91682,             0.55601,            0.029266,           0.0044249,           0.0096015,            0.006337,            0.006337,            0.006337
                  39,            0.024674,            0.008465,            0.013392,             0.81835,             0.86171,             0.91712,             0.55657,            0.029266,           0.0044376,           0.0095945,            0.006238,            0.006238,            0.006238
                  40,            0.024667,           0.0084403,            0.013283,             0.81879,             0.86097,             0.91738,             0.55715,             0.02928,           0.0044442,           0.0095818,            0.006139,            0.006139,            0.006139
                  41,            0.024534,           0.0084008,            0.013376,             0.82362,             0.85892,             0.91749,             0.55847,            0.029207,           0.0044559,           0.0095719,             0.00604,             0.00604,             0.00604
                  42,            0.024584,           0.0084531,             0.01342,             0.82321,             0.86005,             0.91763,             0.56122,            0.029049,           0.0044563,           0.0095557,            0.005941,            0.005941,            0.005941
                  43,            0.024449,            0.008396,            0.013257,             0.82256,             0.86134,             0.91788,             0.56225,            0.028947,           0.0044566,           0.0095385,            0.005842,            0.005842,            0.005842
                  44,            0.024446,            0.008445,            0.013218,             0.82204,             0.85969,             0.91806,               0.565,            0.028801,           0.0044461,           0.0095209,            0.005743,            0.005743,            0.005743
                  45,            0.024346,           0.0083611,            0.013417,             0.82299,             0.85967,             0.91796,             0.56651,             0.02872,           0.0044526,           0.0095178,            0.005644,            0.005644,            0.005644
                  46,            0.024407,            0.008365,            0.013213,             0.82091,             0.86102,             0.91815,              0.5685,            0.028606,           0.0044546,           0.0095114,            0.005545,            0.005545,            0.005545
                  47,            0.024283,            0.008357,            0.012988,             0.81461,             0.86883,             0.91806,             0.57025,            0.028521,           0.0044663,           0.0094978,            0.005446,            0.005446,            0.005446
                  48,            0.024215,           0.0083523,            0.013119,             0.81565,             0.86726,             0.91785,             0.57218,            0.028369,           0.0044721,           0.0094945,            0.005347,            0.005347,            0.005347
                  49,            0.024141,            0.008316,            0.013058,             0.81489,             0.86891,             0.91792,             0.57492,            0.028189,           0.0044774,           0.0094854,            0.005248,            0.005248,            0.005248
                  50,            0.024079,           0.0082939,            0.013045,             0.81631,             0.86731,             0.91799,             0.57606,             0.02814,           0.0044842,           0.0094766,            0.005149,            0.005149,            0.005149
                  51,            0.024198,           0.0083724,            0.012925,             0.81616,             0.86736,             0.91803,             0.57715,            0.028061,           0.0044914,           0.0094577,             0.00505,             0.00505,             0.00505
                  52,            0.024027,           0.0083084,            0.012926,             0.81759,             0.86671,              0.9181,             0.57948,            0.027951,           0.0044925,           0.0094468,            0.004951,            0.004951,            0.004951
                  53,            0.024089,           0.0083259,            0.013024,             0.81908,             0.86599,             0.91831,             0.57969,            0.027919,           0.0045014,           0.0094259,            0.004852,            0.004852,            0.004852
                  54,            0.023839,           0.0082958,            0.012911,             0.82075,             0.86537,             0.91854,             0.57922,            0.027955,           0.0045161,           0.0094107,            0.004753,            0.004753,            0.004753
                  55,            0.023871,           0.0082527,            0.013054,              0.8213,              0.8641,             0.91863,             0.57976,            0.027908,           0.0045147,           0.0093942,            0.004654,            0.004654,            0.004654
                  56,            0.023802,           0.0082494,            0.012915,             0.82287,             0.86347,             0.91884,             0.58096,            0.027886,           0.0045214,           0.0093819,            0.004555,            0.004555,            0.004555
                  57,             0.02374,           0.0082095,            0.012819,             0.81979,             0.86617,             0.91894,             0.58076,            0.027903,           0.0045275,           0.0093688,            0.004456,            0.004456,            0.004456
                  58,            0.023734,           0.0082479,            0.012732,             0.82288,             0.86235,             0.91911,             0.58255,            0.027836,           0.0045283,           0.0093528,            0.004357,            0.004357,            0.004357
                  59,            0.023676,           0.0081918,            0.012767,             0.82135,              0.8647,             0.91916,              0.5824,            0.027853,           0.0045328,           0.0093417,            0.004258,            0.004258,            0.004258
                  60,            0.023633,           0.0082797,            0.012706,             0.82165,             0.86579,             0.91929,             0.58196,             0.02786,            0.004534,           0.0093322,            0.004159,            0.004159,            0.004159
                  61,            0.023631,            0.008277,            0.012637,             0.81682,             0.87035,             0.91928,             0.58136,              0.0279,           0.0045473,            0.009325,             0.00406,             0.00406,             0.00406
                  62,            0.023553,           0.0081927,            0.012653,             0.81728,             0.86966,             0.91942,             0.58289,            0.027849,           0.0045571,           0.0093139,            0.003961,            0.003961,            0.003961
                  63,            0.023557,           0.0082329,            0.012428,             0.81796,             0.86947,             0.91948,             0.58397,            0.027758,           0.0045615,           0.0093003,            0.003862,            0.003862,            0.003862
                  64,            0.023398,           0.0081547,            0.012636,             0.81714,             0.86874,             0.91956,             0.58419,            0.027707,           0.0045681,           0.0092904,            0.003763,            0.003763,            0.003763
                  65,            0.023341,           0.0081732,            0.012442,             0.81559,              0.8691,             0.91955,             0.58445,            0.027692,           0.0045765,           0.0092808,            0.003664,            0.003664,            0.003664
                  66,            0.023395,           0.0081655,            0.012549,             0.81727,             0.86837,             0.91965,             0.58558,             0.02764,           0.0045791,           0.0092669,            0.003565,            0.003565,            0.003565
                  67,            0.023209,           0.0081845,            0.012456,             0.81919,             0.86639,             0.91977,             0.58401,            0.027732,           0.0045939,           0.0092579,            0.003466,            0.003466,            0.003466
                  68,            0.023167,           0.0081298,            0.012434,             0.82176,             0.86442,             0.91997,              0.5831,              0.0278,           0.0046015,           0.0092495,            0.003367,            0.003367,            0.003367
                  69,            0.023178,           0.0081308,            0.012423,             0.82214,             0.86359,             0.92026,             0.58295,            0.027847,           0.0046178,           0.0092376,            0.003268,            0.003268,            0.003268
                  70,            0.023306,           0.0081959,            0.012507,             0.82176,             0.86488,              0.9201,             0.58362,            0.027821,            0.004628,           0.0092313,            0.003169,            0.003169,            0.003169
                  71,            0.023011,           0.0081413,            0.012418,             0.82086,             0.86524,             0.92019,             0.58379,            0.027837,           0.0046398,           0.0092287,             0.00307,             0.00307,             0.00307
                  72,            0.022945,             0.00809,            0.012354,             0.82084,             0.86543,              0.9205,             0.58294,            0.027916,             0.00466,           0.0092162,            0.002971,            0.002971,            0.002971
                  73,            0.022961,           0.0080867,            0.012251,             0.82132,              0.8658,             0.92042,             0.58255,            0.027947,           0.0046748,           0.0092042,            0.002872,            0.002872,            0.002872
                  74,             0.02299,           0.0080694,            0.012198,              0.8124,             0.87482,             0.92056,             0.58178,            0.028011,           0.0046943,           0.0091956,            0.002773,            0.002773,            0.002773
                  75,            0.022826,            0.008055,            0.012092,             0.81363,             0.87445,             0.92088,             0.58201,            0.028026,           0.0047105,            0.009186,            0.002674,            0.002674,            0.002674
                  76,            0.022855,           0.0080721,            0.012165,             0.81614,             0.87297,             0.92078,             0.58264,            0.028011,           0.0047236,           0.0091755,            0.002575,            0.002575,            0.002575
                  77,            0.022706,           0.0079485,            0.012138,             0.81736,             0.87147,             0.92092,             0.58244,            0.028031,           0.0047341,           0.0091666,            0.002476,            0.002476,            0.002476
                  78,            0.022729,           0.0079931,            0.012089,             0.81611,             0.87172,             0.92091,             0.58234,            0.028037,           0.0047428,           0.0091613,            0.002377,            0.002377,            0.002377
                  79,            0.022727,           0.0080263,            0.011957,             0.81677,             0.87029,             0.92083,             0.58111,            0.028138,            0.004757,           0.0091553,            0.002278,            0.002278,            0.002278
                  80,            0.022534,           0.0080302,            0.011899,             0.81438,             0.87242,             0.92059,             0.57971,            0.028248,           0.0047725,           0.0091513,            0.002179,            0.002179,            0.002179
                  81,            0.022463,           0.0079957,            0.011842,             0.82232,             0.86848,             0.92058,             0.58014,            0.028224,           0.0047759,           0.0091465,             0.00208,             0.00208,             0.00208
                  82,            0.022369,            0.007959,            0.011911,             0.81953,             0.86979,             0.92057,             0.57951,            0.028252,           0.0047914,           0.0091394,            0.001981,            0.001981,            0.001981
                  83,            0.022364,           0.0079394,             0.01182,             0.81343,             0.87642,             0.92102,             0.58055,            0.028194,            0.004802,           0.0091276,            0.001882,            0.001882,            0.001882
                  84,            0.022296,           0.0079245,            0.011828,             0.81287,             0.87535,             0.92076,             0.58053,            0.028227,           0.0048192,           0.0091178,            0.001783,            0.001783,            0.001783
                  85,            0.022148,           0.0078935,            0.011523,             0.81399,             0.87558,             0.92085,             0.57954,            0.028307,           0.0048368,           0.0091084,            0.001684,            0.001684,            0.001684
                  86,            0.022133,           0.0079316,            0.011738,             0.81405,             0.87609,             0.92103,             0.57802,            0.028462,           0.0048665,           0.0091077,            0.001585,            0.001585,            0.001585
                  87,            0.022174,           0.0079288,            0.011464,             0.81458,             0.87537,             0.92045,             0.57685,            0.028586,           0.0048986,           0.0091076,            0.001486,            0.001486,            0.001486
                  88,            0.021868,           0.0078465,            0.011473,             0.81497,             0.87543,             0.92061,             0.57641,            0.028643,           0.0049248,           0.0091074,            0.001387,            0.001387,            0.001387
                  89,            0.021889,           0.0078541,            0.011403,             0.81797,             0.87391,             0.92067,             0.57558,            0.028708,           0.0049468,           0.0090993,            0.001288,            0.001288,            0.001288
                  90,            0.021876,           0.0078315,            0.011282,             0.81818,              0.8737,             0.92064,             0.57493,            0.028778,           0.0049671,           0.0090905,            0.001189,            0.001189,            0.001189
                  91,            0.021709,           0.0077779,            0.011355,             0.81695,             0.87464,             0.92067,             0.57437,             0.02885,            0.004989,           0.0090792,             0.00109,             0.00109,             0.00109
                  92,            0.021804,           0.0078249,            0.011039,               0.813,              0.8787,             0.92077,             0.57349,             0.02892,           0.0050098,           0.0090689,            0.000991,            0.000991,            0.000991
                  93,            0.021614,           0.0077891,            0.011018,             0.81405,             0.87679,             0.92097,             0.57297,            0.028974,           0.0050284,           0.0090593,            0.000892,            0.000892,            0.000892
                  94,            0.021548,           0.0078085,            0.011078,             0.81263,             0.87833,             0.92108,             0.57192,            0.029038,           0.0050498,           0.0090499,            0.000793,            0.000793,            0.000793
                  95,            0.021374,           0.0077503,            0.011058,             0.81246,             0.87757,             0.92096,             0.57125,            0.029126,           0.0050702,           0.0090447,            0.000694,            0.000694,            0.000694
                  96,            0.021436,           0.0077213,            0.010924,             0.81503,             0.87747,             0.92113,             0.56916,            0.029222,           0.0050956,           0.0090392,            0.000595,            0.000595,            0.000595
                  97,            0.021335,           0.0077118,             0.01082,             0.81878,             0.87622,             0.92107,             0.56791,            0.029285,           0.0051178,           0.0090356,            0.000496,            0.000496,            0.000496
                  98,            0.021163,           0.0076821,            0.010642,             0.81717,             0.87708,             0.92084,             0.56662,            0.029373,           0.0051471,           0.0090317,            0.000397,            0.000397,            0.000397
                  99,            0.021186,            0.007691,            0.010631,             0.81887,             0.87545,             0.92093,             0.56644,            0.029427,           0.0051722,           0.0090283,            0.000298,            0.000298,            0.000298
